PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
11759-12701,1-55170,174082369739.56494,15.357,0.144
8075-3701,1-119742,170714566663.60538,6.888,0.01
10218-1902,1-382697,38805000199.05576,2.598,0.002
12512-1901,1-286,54569349907.31776,1.858,0.097
11017-6104,1-319661,105624629844.46669,5.359,0.204
10214-12701,1-604985,18860898156.101727,5.514,0.116
11827-12704,1-320748,115774696186.2159,16.437,0.905
9187-6103,1-96589,40601893714.933,3.444,0.0
9188-6104,1-51118,13224541383.99688,2.298,0.148
9191-12703,1-179083,36939283728.928,7.556,0.69
9192-9102,1-37606,81313879157.8072,4.705,0.165
10517-12703,1-78856,63858170192.16539,9.483,0.108
7963-1902,1-179096,10549513688.806738,1.683,0.007
7965-12702,1-179321,102378780009.19257,6.762,0.034
11021-6102,1-195845,48957185196.03346,5.338,0.033
8152-6103,1-232411,102166244601.91986,5.935,0.003
9489-3701,1-412566,34194576550.151806,1.898,0.008
12518-12701,1-2125,31374395002.53164,4.404,0.081
10516-3704,1-60707,30590040360.978447,4.057,0.123
10495-1902,1-45690,94613519941.36072,2.595,0.029
12518-6101,1-2456,15117777875.760098,3.74,0.187
12066-9101,1-26135,33059158143.418056,5.157,0.012
9496-12703,1-229705,157332353780.1431,6.098,0.18
8245-6104,1-464294,87151809774.64287,4.993,0.033
8092-9101,1-40721,62429901540.9395,5.585,0.073
10506-9101,1-232033,24626152808.605602,4.214,0.78
10218-3703,1-383171,45991638283.68086,3.27,0.093
10499-3704,1-299845,16674120664.408644,3.612,0.02
9503-12701,1-229731,76112164024.96562,5.172,0.002
9503-12704,1-217978,10527119671.74374,4.963,0.082
9504-12701,1-146283,91686256271.14812,10.222,0.113
9504-12704,1-164370,93448686202.41365,8.678,0.001
8328-1902,1-592574,37960066974.547,1.842,0.01
9513-9101,1-42896,15357095677.076715,4.198,0.045
9514-12701,1-42176,15941175020.84665,6.225,0.176
9514-3704,1-42195,71274152180.93567,3.831,0.026
9514-9102,1-42227,82590017854.54123,4.515,0.006
8079-3703,1-36903,137713701020.5598,5.837,0.001
12518-12705,1-2511,76002820596.25803,8.965,0.285
9866-3701,1-271717,29740078464.168156,3.22,0.004
9867-1902,1-198163,56422223898.36165,1.893,0.051
10498-3701,1-385544,53637713967.649536,6.995,0.117
11867-12703,1-53660,100800271068.42252,14.01,0.001
7980-1902,1-115650,24099382235.725216,2.318,0.119
8328-12701,1-286729,47676417037.318375,6.28,0.001
8095-3701,1-42381,42371965499.93601,2.48,0.045
10511-6102,1-214291,76778587833.2784,5.185,0.01
8097-12703,1-42548,85980766016.94579,6.525,0.0
11017-12704,1-319668,31401133842.1554,4.845,0.356
9875-1901,1-456832,9287802889.310713,0.796,0.008
9879-12703,1-403619,12585732299.5591,2.97,0.031
9884-3704,1-196637,52047865062.219406,2.866,0.101
9885-3703,1-376346,43578353752.82503,3.695,0.014
9886-12701,1-441573,23731730073.76822,5.269,0.142
8088-9102,1-120803,115651183121.74553,7.865,0.006
10518-6102,1-182818,31230036369.792244,3.602,0.005
9890-6103,1-263747,148721268143.28165,3.818,0.004
9893-6102,1-325918,9092319955.710798,2.059,0.0
12667-6104,1-211513,5137862766.743417,2.246,0.894
11960-9101,1-336885,15440494321.732882,3.818,0.879
12489-12703,1-617758,21819068211.54329,4.534,0.741
12621-3702,1-421027,40131469255.05242,3.495,0.187
12667-6101,1-249009,26576489239.97985,4.081,0.088
12682-3702,1-98304,24557702846.283684,2.7,0.005
12675-12704,1-211400,9088366872.488047,3.653,0.659
